"INDI_ID","CSF","GM","WM","DGM","BS","Cerebellum"
28408,228532.96875,599359.9375,421195.9375,39436.99609375,21799.998046875,158722.984375
28412,303608.96875,606378.9375,420338.96875,40842.99609375,21011.998046875,140205.984375
28394,268453.96875,630770.9375,427363.96875,42503.99609375,21339.998046875,151657.984375
28425,266308,652969,491566,44925,25060,133108
28375,255089.984375,457091.96875,322944.96875,34410.99609375,16406.998046875,135305.984375
28439,271011.96875,539336.9375,402295.96875,39246.99609375,8966.9990234375,81058.9921875
28476,337035.96875,521077.96875,362605.96875,33321.99609375,17535.998046875,142887.984375
28519,328422.96875,530982.9375,417761.96875,37622.99609375,18537.998046875,159720.984375
28444,308941.96875,374856.96875,422356.96875,36326.99609375,15704.9990234375,99046.9921875
28379,322187,422855,442088,38711,20562,143232
28498,369237.96875,527999.9375,446829.96875,37029.99609375,14075.9990234375,109773.9921875
28414,329806,485213,410582,34027,20088,148791
28369,230801.984375,483521.96875,410794.96875,36411.99609375,10791.9990234375,76598.9921875
28576,246426.96875,478693.9375,342101.96875,37970.99609375,19167.998046875,137055.984375
28470,264784.96875,468301.96875,337617.96875,32782.99609375,16851.998046875,126690.9921875
28380,345541.96875,365698.96875,474704.96875,40454.99609375,22309.998046875,156462.984375
28565,377864,414960,406106,34204,9638,93763
28494,351544,567564,443184,39399,23709,157297
28409,338776,442213,448395,42887,13890,107848
28611,234487.96875,507198.9375,380164.96875,35458.99609375,17871.998046875,125669.984375
28510,289640.96875,557741.9375,419390.96875,37960.99609375,21209.998046875,167726.984375
28584,255496.96875,516251.9375,384029.96875,41242.99609375,20443.998046875,153044.984375
28566,325244,604408,411432,40616,19832,155127
28521,268087,559370,367741,39832,19439,166499
28450,259417.984375,447134.96875,343786.96875,34556.99609375,16475.998046875,136641.984375
28497,276495,468665,440522,40223,20174,167988
28398,406834,472430,432912,42005,10645,107010
28331,277919.96875,433111.9375,328514.96875,34239.99609375,15416.998046875,105146.984375
28400,302854.96875,623181.9375,523721.96875,42662.99609375,16569.998046875,113625.9921875
28589,304982.96875,533784.9375,432219.9375,38119.99609375,20837.998046875,153869.984375
28638,333315.96875,454803.96875,384852.96875,31946.998046875,19846.998046875,163202.984375
28460,213760,471335,334742,34299,17517,143006
28432,281665,507628,399819,38136,21760,164379
28561,265193,505822,398915,38227,23640,170869
28613,394181,584309,442673,37393,18475,116214
28389,257507.984375,511110.96875,381578.96875,40414.99609375,20572.998046875,152937.984375
28420,327807.96875,422041.9375,377862.96875,32660.99609375,15817.998046875,115276.984375
